Institution,voucher.id,species,subspecies,rec.taxa,date,Type.status,collector,locality,country,elevation,habitat,age,sex,culmen.length,culmen.width,culmen.depth,tail.length,wing.flat,tarsus.length,alula.color,alula.margin,lore.color,lore.black.length,tail.gray.length,no.gray.rectrices,collar.color (pale/uniform),crown.color,mantle.color,supraloral.color,post.ocular.color,widest.median.tip,widest.greater.tip,wing.bar.ratio,throat color,breast,belly,undertail.covs,lat, notes
AMNH,171935,P. salvini,guayaquilensis,P. salvini,7/9/21,No,Cherrie & Gill,Chongoncito; Guayas,Ecuador,0,NA,U,F,8.56,5.67,4.75,46,65,16.31,brown,0.59,dark gray,0,NA,NA,uniform,dull chestnut,olive-gray,white,gray,2.74,1.79,1.530726257,ivory,yellow,yellow,yellow,,
AMNH,124731,P. salvini,guayaquilensis,P. salvini,4/28/13,No,William B. Richardson,Daule; Guayas,Ecuador,NA,NA,U,F,8.8,5.57,5.04,45,63,17.68,brown,0.71,dark gray,0,NA,NA,uniform,dull chestnut,olive-gray,white,gray,2.13,2.47,0.862348178,ivory,yellow,yellow,yellow,,
AMNH,494161,P. salvini,guayaquilensis,P. salvini,5/4/00,No,G. Flemming,S Javier,Ecuador,15,NA,U,F,9.55,6,5.75,49,64,18.1,brown,0.71,dark gray,0,NA,NA,uniform,dull chestnut,olive-gray,white,gray,2.47,1.94,1.273195876,ivory,yellow,yellow,yellow,,
ANSP,59654,P. salvini,guayaquilensis,P. salvini,6/28/11,No,SAM'L R. RHOADS,BUCAY; GUAYAS,Ecuador,300,NA,U,F,9.47,5.64,4.76,49,69.5,NA,brown,0.3,dark gray,0,NA,NA,uniform,dull chestnut,olive-brown,gray,gray,2.16,1.8,1.2,ivory,yellow,yellow,yellow,,
ANSP,59655,P. salvini,guayaquilensis,P. salvini,6/22/11,No,SAM'L R. RHOADS,BUCAY; GUAYAS,Ecuador,300,NA,U,F,8.65,5.4,4.84,51,69,NA,brown,0.93,dark gray,1.61,NA,NA,uniform,dull chestnut,olive-brown,gray,gray,2.85,2.36,1.207627119,ivory,yellow,yellow,yellow,,
ANSP,165208,P. salvini,salvini,P. salvini,7/1/51,No,T. MENA,RIO SAN MIGUEL,Colombia,NA,NA,U,F,9,5.38,4.94,49,68,NA,brown,0.81,dark gray,0,NA,NA,uniform,dull chestnut,olive-brown,gray,gray,3.1,2.37,1.308016878,ivory,yellow,yellow,yellow,,
AMNH,494152,P. salvini,salvini,P. salvini,04/1899,No,Goodfellow,ArchidoNA,Ecuador,NA,NA,U,F,9.09,5.7,4.82,49,NA,16.62,brown,1.03,dark gray,1.52,NA,NA,uniform,dull chestnut,olive-brown,white,gray,3.24,2.48,1.306451613,ivory,yellow,yellow,yellow,,
AMNH,494151,P. salvini,salvini,P. salvini,04/1899,No,Goodfellow,ArchidoNA,Ecuador,NA,NA,U,F,9.37,6.28,5.03,48,68,NA,brown,0.8,dark gray,0,NA,NA,uniform,dull chestnut,olive-gray,white,NA,2.83,2.7,1.048148148,ivory,yellow,yellow,yellow,,
ANSP,180429,P. salvini,salvini,P. salvini,8/25/87,No,MARK B. ROBBINS,MINDO; PICHINCHA,Ecuador,1300,NA,U,F,9.28,5.68,4.93,NA,NA,NA,brown,0.8,dark gray,1.34,NA,NA,uniform,dull chestnut,olive-brown,white,gray,2.31,1,2.31,ivory,yellow,yellow,yellow,,MOLT
ANSP,181150,P. salvini,salvini,P. salvini,8/9/88,No,MARK B. ROBBINS,CA. 4KM SSW OF CHICAL; S SIDE OF Q. SAN JOSE OF THE RIO BLANCOL CARCHI,Ecuador,1775,EDGE OF PRIMARY FOREST,U,F,8.87,5.46,5.12,NA,NA,66,brown,0.61,dark gray,0,NA,NA,uniform,dull chestnut,olive-brown,gray,black,2.03,1.83,1.109289617,light gray,yellow,yellow,yellow,,TAIL MOLT
